"업체명","적용지역","광역지역","상위지역","하위지역","대표역","대표역주소","역노선","위치표시","주소표시","역선정방식","역거리km","계산상가까운역","계산거리km"
"","경기","경기","부천시-소사구","옥길동","천왕역","서울특별시 구로구 오리로 지하1154(천왕동)","7호선","천왕역 인근","서울특별시 구로구 오리로 지하1154(천왕동)","좌표최단거리","2.26","천왕역","2.26"
"","경기","경기","부천시-오정구","고강동","원종역","경기도 부천시 원종동 404","서해선","원종역 인근","경기도 부천시 원종동 404","좌표최단거리","1.45","원종역","1.45"
"","경기","경기","부천시-오정구","고강본동","","","","고강본동 중심","경기 부천시 오정구 고강본동","지역중심","","",""
"","경기","경기","부천시-오정구","성곡동","","","","성곡동 중심","경기 부천시 오정구 성곡동","지역중심","","",""
"","경기","경기","부천시-오정구","신흥동","신중동역","경기도 부천시 원미구 길주로 지하 314 (중동)","도시철도 7호선","신중동역 인근","경기도 부천시 원미구 길주로 지하 314 (중동)","좌표최단거리","1.89","신중동역","1.89"
"","경기","경기","부천시-오정구","오정동","","","","오정동 중심","경기 부천시 오정구 오정동","지역중심","","",""
"","경기","경기","부천시-오정구","원종동","","","","원종동 중심","경기 부천시 오정구 원종동","지역중심","","",""
"","경기","경기","부천시-원미구","도당동","춘의역","경기도 부천시 원미구 길주로 지하 406 (춘의동)","도시철도 7호선","춘의역 인근","경기도 부천시 원미구 길주로 지하 406 (춘의동)","좌표최단거리","1.21","춘의역","1.21"
"","경기","경기","부천시-원미구","상동","상동역","경기도 부천시 원미구 길주로 지하 104 (상동)","도시철도 7호선","상동역 인근","경기도 부천시 원미구 길주로 지하 104 (상동)","좌표최단거리","0.01","상동역","0.01"
"","경기","경기","부천시-원미구","소사동","소사역","경기도 부천시 소사구 경인로 363","서해선","소사역 인근","경기도 부천시 소사구 경인로 363","좌표최단거리","0.38","소사역","0.38"
"","경기","경기","부천시-원미구","심곡동","부천역","경기도 부천시 소사구 부천로 1","경인선","부천역 인근","경기도 부천시 소사구 부천로 1","좌표최단거리","0.79","부천역","0.79"
"","경기","경기","부천시-원미구","약대동","부천시청역","경기도 부천시 원미구 길주로 지하 202 (중동)","도시철도 7호선","부천시청역 인근","경기도 부천시 원미구 길주로 지하 202 (중동)","좌표최단거리","1.10","부천시청역","1.10"
"","경기","경기","부천시-원미구","역곡동","역곡역","경기도 부천시 원미구 역곡로 1(역곡동)","경인선","역곡역 인근","경기도 부천시 원미구 역곡로 1(역곡동)","좌표최단거리","0.64","역곡역","0.64"
"","경기","경기","부천시-원미구","원미동","소사역","경기도 부천시 소사구 경인로 363","서해선","소사역 인근","경기도 부천시 소사구 경인로 363","좌표최단거리","1.15","소사역","1.15"
"","경기","경기","부천시-원미구","중동","중동역","경기도 부천시 소사구 중동로 73","경인선","중동역 인근","경기도 부천시 소사구 중동로 73","좌표최단거리","0.05","중동역","0.05"
"","경기","경기","부천시-원미구","춘의동","부천종합운동장역","경기도 부천시 원미구 길주로 지하 502 (춘의동)","도시철도 7호선","부천종합운동장역 인근","경기도 부천시 원미구 길주로 지하 502 (춘의동)","좌표최단거리","0.56","부천종합운동장역","0.56"
