"업체명","적용지역","광역지역","상위지역","하위지역","지역위도","지역경도","지오코딩상태","대표역","역노선","역운영기관","역도로명주소","역거리km","검토필요","검색결과주소"
"한국미인테라피","경기","경기","남양주시","진접읍","37.7228358","127.1976354","OK","진접역","진접선","남양주도시공사","경기도 남양주시 진접읍 경복대로 지하 244","0.55","","진접읍, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","퇴계원읍","37.6486812","127.1433630","OK","퇴계원역","경춘선","한국철도공사","경기도 남양주시 퇴계원면 경춘북로 545(퇴계원리 218-8)","0.06","","퇴계원읍, 남양주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","남양주시","평내동","37.6480755","127.2357794","OK","평내호평역","경춘선","한국철도공사","경기도 남양주시 경춘로 1375(평내동 156)","0.95","","평내동, 남양주시, 경기도, 12217, 대한민국"
"한국미인테라피","경기","경기","남양주시","호평동","37.6576388","127.2465940","OK","평내호평역","경춘선","한국철도공사","경기도 남양주시 경춘로 1375(평내동 156)","0.53","","호평동, 남양주시, 경기도, 12147, 대한민국"
"한국미인테라피","경기","경기","남양주시","화도읍","37.6538308","127.3196785","OK","마석역","경춘선","한국철도공사","경기도 남양주시 화도읍 마석우리 241-4","0.72","","화도읍, 남양주시, 경기도, 12181, 대한민국"
"한국미인테라피","경기","경기","동두천시","보산동","37.9176604","127.0609443","OK","보산역","경원선","한국철도공사","경기도 동두천시 평화로 2539(보산동)","0.50","","보산동, 동두천시, 경기도, 11309, 대한민국"
"한국미인테라피","경기","경기","동두천시","불현동","37.8984570","127.0625040","OK","동두천중앙역","경원선","한국철도공사","경기도 동두천시 동두천로 228(생연동 682)","0.64","","불현동 행정복지센터, 123, 행선로, 생연동, 동두천시, 경기도, 11358, 대한민국"
"한국미인테라피","경기","경기","동두천시","상패동","37.9073575","127.0323924","OK","동두천중앙역","경원선","한국철도공사","경기도 동두천시 동두천로 228(생연동 682)","2.21","","상패동, 동두천시, 경기도, 11340, 대한민국"
"한국미인테라피","경기","경기","동두천시","생연동","37.9051316","127.0609492","OK","동두천중앙역","경원선","한국철도공사","경기도 동두천시 동두천로 228(생연동 682)","0.54","","생연동, 동두천시, 경기도, 11313, 대한민국"
"한국미인테라피","경기","경기","동두천시","소요동","37.9295380","127.0576286","OK","동두천역","경원선","한국철도공사","경기도 동두천시 평화로 2687(동두천동 245-210)","0.33","","소요동 행정복지센터, 2706, 평화로, 동두천동, 동두천시, 경기도, 11307, 대한민국"
"한국미인테라피","경기","경기","동두천시","송내동","37.8811658","127.0616025","OK","지행역","경원선","한국철도공사","경기도 동두천시 평화로 2285(지행동)","1.35","","송내동, 동두천시, 경기도, 11366, 대한민국"
"한국미인테라피","경기","경기","동두천시","중앙동","37.9077636","127.0532058","OK","동두천중앙역","경원선","한국철도공사","경기도 동두천시 동두천로 228(생연동 682)","0.72","","중앙동 행정복지센터, 172, 생연로, 보산동, 동두천시, 경기도, 11328, 대한민국"
"한국미인테라피","경기","경기","부천시-소사구","괴안동","37.4821599","126.8114808","OK","역곡역","경인선","한국철도공사","경기도 부천시 원미구 역곡로 1(역곡동)","0.33","","괴안동, 소사구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-소사구","범박동","37.4697151","126.8117156","OK","소새울역","서해선","한국철도공사","경기도 부천시 소사로 지하 284","1.29","","범박동, 소사구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-소사구","소사본동","37.4734085","126.7947805","OK","소새울역","서해선","한국철도공사","경기도 부천시 소사로 지하 284","0.59","","소사본동, 소사구, 부천시, 경기도, 대한민국"
"한국미인테라피","경기","경기","부천시-소사구","송내동","37.4829235","126.7630049","OK","중동역","경인선","한국철도공사","경기도 부천시 소사구 중동로 73","0.44","","송내동, 소사구, 부천시, 경기도, 14728, 대한민국"
"한국미인테라피","경기","경기","부천시-소사구","심곡본동","37.4784640","126.7797815","OK","부천역","경인선","한국철도공사","경기도 부천시 소사구 부천로 1","0.68","","심곡본동, 소사구, 부천시, 경기도, 대한민국"
